UNNAMED: 0,FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,NUMERO ACCIONES,VALOR EFECTIVO,PROCEDENCIA
,2026-01-05,BEVERAGE BRAND PATENTS SA,ACCIONES,1.0,50.0,105.0,5250.0,BVG
,2026-01-05,BANCO PICHINCHA C.A.,ACCIONES,100.0,107.0,6.0,642.0,BVQ
,2026-01-05,BANCO GUAYAQUIL S.A.,ACCIONES,1.0,1.92,1000.0,1920.0,BVQ
,2026-01-05,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1.0,1.15,8696.0,10000.4,BVQ
,2026-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.93,2148.0,4145.64,BVG
,2026-01-05,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1.0,1.15,304.0,349.6,BVQ
,2026-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.93,1552.0,2995.36,BVG
,2026-01-05,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1.0,1.1,5000.0,5500.0,BVQ
,2026-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.93,6682.0,12896.26,BVQ
,2026-01-05,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1.0,1.15,3589.0,4127.35,BVQ
,2026-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.93,5000.0,9650.0,BVQ
,2026-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.93,1137.0,2194.41,BVQ
,2026-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.92,2000.0,3840.0,BVQ
,2026-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.93,2000.0,3860.0,BVQ
,2026-01-06,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1.0,1.15,500.0,575.0,BVQ
,2026-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.94,103.0,199.82,BVQ
,2026-01-06,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1.0,1.1,2356.0,2591.6,BVQ
,2026-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.94,252.0,488.88,BVQ
,2026-01-06,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1.0,1.15,500.0,575.0,BVQ
,2026-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.93,1571.0,3032.03,BVQ
,2026-01-06,BANCO PICHINCHA C.A.,ACCIONES,100.0,109.0,4.0,436.0,BVQ
,2026-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.93,527.0,1017.11,BVG
,2026-01-06,BOLSA DE VALORES DE QUITO,ACCIONES,1.0,3.65,9524.0,34762.6,BVQ
,2026-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1.0,1.92,40000.0,76800.0,BVG
,2026-01-06,BOLSA DE VALORES DE QUITO,ACCIONES,1.0,3.68,2800.0,10304.0,BVQ
,2026-01-06,INVERSANCARLOS,ACCIONES,1.0,2.95,657.0,1938.15,BVQ
,2026-01-06,BOLSA DE VALORES DE QUITO,ACCIONES,1.0,3.66,2800.0,10248.0,BVQ
,2026-01-06,BANCO GUAYAQUIL S.A.,ACCIONES,1.0,1.97,233.0,459.01,BVQ
,2026-01-06,BANCO GUAYAQUIL S.A.,ACCIONES,1.0,1.93,2864.0,5527.52,BVQ
