EMISOR,FECHA_ULTIMA_TRANSACCION,PRECIO_FINAL,FECHA_SEMANA_ANTERIOR,PRECIO_INICIAL,FECHA_CIERRE_2024,PRECIO_CIERRE_2024,VARIACION_SEMANAL,SECTOR
BANCO GUAYAQUIL S.A.,2025-09-12,$1.52,2025-09-05,$1.52,2024-12-30,$1.18,0.00%,Financiero
CORPORACION FAVORITA C.A.,2025-09-12,$1.88,2025-09-05,$1.87,2024-12-31,$1.90,0.53%,Real
BANCO DE LA PRODUCCION S.A . PRODUBANCO,2025-09-12,$0.89,2025-09-05,$0.91,2024-12-31,$0.86,-2.20%,Financiero
CERVECERIA NACIONAL CN S A,2025-09-10,$52.00,,$nan,2024-12-23,$46.00,0.00%,Real
HOLCIM ECUADOR S.A.,2025-09-12,$40.00,2025-09-05,$43.00,2024-12-18,$43.00,-6.98%,Real
BRIKAPITAL SA,2025-08-25,$500.00,,$nan,2024-12-26,$875.00,0.00%,Real
BANCO PICHINCHA C.A.,2025-09-11,$90.00,2025-09-05,$90.00,2024-12-30,$80.00,0.00%,Financiero
INVERSANCARLOS,2025-09-10,$2.70,2025-09-04,$2.80,2024-12-24,$2.80,-3.57%,Real
SAN CARLOS SOC. AGR. IND.,2025-09-10,$0.60,2025-09-05,$0.60,2024-12-19,$0.60,0.00%,Real
BANCO BOLIVARIANO C.A.,2025-09-09,$1.30,2025-09-03,$1.22,2024-12-09,$0.95,6.56%,Financiero
BOLSA DE VALORES DE GUAYAQUIL,2025-09-08,$2.00,2025-09-04,$2.00,2024-12-24,$0.96,0.00%,Financiero
CRIDESA,2025-09-05,$5.00,2025-09-05,$5.00,2024-12-04,$5.00,0.00%,Real
BOLSA DE VALORES DE QUITO,2025-09-12,$3.37,2025-09-03,$3.40,2024-12-30,$2.90,-0.88%,Financiero
CONCLINA C A  CIA CONJU CLINICO NACIONAL,2025-08-29,$1.66,,$nan,2024-11-22,$1.33,0.00%,Real
CONTINENTAL TIRE ANDINA S A,2025-09-05,$0.49,2025-09-05,$0.49,2024-10-01,$0.49,0.00%,Real
INDUSTRIAS ALES,2025-09-05,$0.56,2025-09-05,$0.56,2024-09-12,$0.56,0.00%,Real
BEVERAGE BRAND PATENTS SA,2025-09-11,$50.00,2025-09-02,$50.00,2024-12-11,$35.05,0.00%,Real
BANCO DEL AUSTRO,2025-09-11,$0.40,2025-09-05,$0.40,2024-07-09,$0.40,0.00%,Financiero
