"AÑO","EMISOR","RENDIMIENTO"
"2020","BANCO GUAYAQUIL S.A.","1.94%"
"2020","BANCO BOLIVARIANO C.A.","2.68%"
"2020","BANCO DE LA PRODUCCION S.A . PRODUBANCO","1.36%"
"2020","BANCO PICHINCHA C.A.","1.40%"
"2021","BANCO GUAYAQUIL S.A.","7.15%"
"2021","BANCO BOLIVARIANO C.A.","4.58%"
"2021","BANCO DE LA PRODUCCION S.A . PRODUBANCO","4.97%"
"2021","BANCO PICHINCHA C.A.","4.25%"
"2022","BANCO GUAYAQUIL S.A.","8.46%"
"2022","BANCO BOLIVARIANO C.A.","4.40%"
"2022","BANCO DE LA PRODUCCION S.A . PRODUBANCO","6.07%"
"2022","BANCO PICHINCHA C.A.","2.56%"
"2023","BANCO GUAYAQUIL S.A.","9.27%"
"2023","BANCO BOLIVARIANO C.A.","4.92%"
"2023","BANCO DE LA PRODUCCION S.A . PRODUBANCO","3.78%"
"2023","BANCO PICHINCHA C.A.","5.61%"
"2024","BANCO GUAYAQUIL S.A.","7.60%"
"2024","BANCO BOLIVARIANO C.A.","4.74%"
"2024","BANCO DE LA PRODUCCION S.A . PRODUBANCO","2.59%"
"2024","BANCO PICHINCHA C.A.","3.71%"
"2025","BANCO GUAYAQUIL S.A.","4.84%"
"2025","BANCO BOLIVARIANO C.A.","2.58%"
"2025","BANCO PICHINCHA C.A.","3.79%"
