"AÑO","EMISOR","RENDIMIENTO"
"2020","HOLCIM ECUADOR S.A.","2.29%"
"2020","SAN CARLOS SOC. AGR. IND.","1.05%"
"2020","CERVECERIA NACIONAL CN S A","3.14%"
"2020","BEVERAGE BRAND PATENTS SA","2.29%"
"2020","CORPORACION FAVORITA C.A.","3.13%"
"2020","CRIDESA","9.84%"
"2021","HOLCIM ECUADOR S.A.","9.00%"
"2021","SAN CARLOS SOC. AGR. IND.","5.34%"
"2021","CERVECERIA NACIONAL CN S A","6.43%"
"2021","BEVERAGE BRAND PATENTS SA","6.16%"
"2021","CORPORACION FAVORITA C.A.","2.72%"
"2021","CRIDESA","13.29%"
"2022","HOLCIM ECUADOR S.A.","10.50%"
"2022","SAN CARLOS SOC. AGR. IND.","5.81%"
"2022","CERVECERIA NACIONAL CN S A","4.66%"
"2022","BEVERAGE BRAND PATENTS SA","8.85%"
"2022","CORPORACION FAVORITA C.A.","3.02%"
"2022","CRIDESA","13.40%"
"2023","HOLCIM ECUADOR S.A.","2.82%"
"2023","SAN CARLOS SOC. AGR. IND.","5.25%"
"2023","CERVECERIA NACIONAL CN S A","8.15%"
"2023","BEVERAGE BRAND PATENTS SA","16.44%"
"2023","CORPORACION FAVORITA C.A.","3.85%"
"2023","CRIDESA","13.95%"
"2024","HOLCIM ECUADOR S.A.","2.21%"
"2024","SAN CARLOS SOC. AGR. IND.","4.84%"
"2024","CERVECERIA NACIONAL CN S A","6.38%"
"2024","BEVERAGE BRAND PATENTS SA","9.81%"
"2024","CORPORACION FAVORITA C.A.","3.63%"
"2024","CRIDESA","12.13%"
"2025","HOLCIM ECUADOR S.A.","2.49%"
"2025","CERVECERIA NACIONAL CN S A","7.34%"
"2025","CRIDESA","12.12%"
